Provincia,Fecha,Poblacion,Poblacion Economicamente Activa,Empleo,Empleo Adecuado/Pleno,Subempleo,Tasa,,
Esmeraldas,dic-09,457113,175675,162683,57734,30151,32.86%,,
Guayas,dic-09,3721836,1693410,1515578,765322,317909,45.19%,,
Imbabura,dic-09,418190,188903,177380,62018,34026,32.83%,,
Loja,dic-09,444410,216910,207323,66571,38397,30.69%,,
Los Rios,dic-09,774325,318444,301644,117582,58459,36.92%,,
Manabi,dic-09,1357301,550980,515099,182642,136066,33.15%,,
Morona Santiago,dic-09,,,,,,,,
Napo,dic-09,,,,,,,,
Pastaza,dic-09,,,,,,,,
Pichincha,dic-09,2777733,1381913,1302547,661401,156152,47.86%,,
Tungurahua,dic-09,524313,294369,285518,94085,41568,31.96%,,
Zamora Chinchipe,dic-09,,,,,,,,
Galapagos,dic-09,,,,,,,,
Sucumbios,dic-09,,,,,,,,
Orellana,dic-09,,,,,,,,
Sto Domingo Tsachilas,dic-09,,,,,,,,
Santa Elena,dic-09,,,,,,,,
Amazonia,dic-09,701685,307739,289308,84626,33826,27.50%,,
Azuay,dic-10,719336,352939,343224,175007,34931,49.59%,,
Bolivar,dic-10,186343,89763,88136,19737,7814,21.99%,,
Canar,dic-10,236106,110540,106574,35394,17937,32.02%,,
Carchi,dic-10,173145,80869,77420,23836,16682,29.47%,,
Cotopaxi,dic-10,426296,207694,204255,61334,11705,29.53%,,
Chimborazo,dic-10,464493,229040,226534,56909,17998,24.85%,,
El Oro,dic-10,646971,295317,280911,144541,51354,48.94%,,
Esmeraldas,dic-10,493352,188726,172193,72731,27762,38.54%,,
Guayas,dic-10,3770532,1636903,1526722,822478,272694,50.25%,,
Imbabura,dic-10,424880,185172,175886,69940,28722,37.77%,,
Loja,dic-10,449933,225206,214403,74437,24960,33.05%,,
Los Rios,dic-10,785900,320219,305432,136775,58029,42.71%,,
Manabi,dic-10,1375725,567573,530389,186625,115364,32.88%,,
Morona Santiago,dic-10,,,,,,,,
Napo,dic-10,,,,,,,,
Pastaza,dic-10,,,,,,,,
Pichincha,dic-10,2816394,1338980,1266336,771702,140733,57.63%,,
Tungurahua,dic-10,532309,289550,283974,105935,31864,36.59%,,
Zamora Chinchipe,dic-10,,,,,,,,
Galapagos,dic-10,,,,,,,,
Sucumbios,dic-10,,,,,,,,
Orellana,dic-10,,,,,,,,
Sto Domingo Tsachilas,dic-10,,,,,,,,
Santa Elena,dic-10,,,,,,,,
Amazonia,dic-10,713520,294635,288751,110281,29736,37.43%,,
Azuay,dic-11,729332,361913,347679,168127,43396,46.46%,,
Bolivar,dic-11,188932,88830,86471,18894,9196,21.27%,,
